Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,REASON
camp integrity walden ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
what size racket for 9 year old,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
layup drills for basketball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
good ball control drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
soccer for toddlers in long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
warm up exercises after workout,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'workout'
what size soccer ball does a 5 year old use,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
baseball drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
long island basketball camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,8,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
steph curry dribbling drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
soccer stars nyc,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
how to do rainbow flick,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
sleepaway lacrosse camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'sleepaway'
how to dribble good in hoop nation,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
soccer ball sizes and ages,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'ball size'
long island golf camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,7,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
how to find right size tennis racket,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
summer camp jobs hiring near me,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'jobs'
free things to do with kids long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
what size tennis racquet for 9 year old,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
chess long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
uau new york,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'new york'
camp r us hicksville,CM - pMax - Portland (MxConv), --,Performance Max,None,1,1,4.43,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'hicksville'
camps r us farmingdale,CM - pMax - Portland (MxConv), --,Performance Max,None,6,71,26.36,2.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'farmingdale'
boundless adventures purchase ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
cheer camp long island,CM - pMax - Portland (MxConv), --,Performance Max,None,1,1,0.45,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
horseback riding north salem ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
